indonesian_original,indonesian,papua_kokas,is_augmented
apa yang kamu pikirkan tentang pentingnya menjaga keseimbangan antara kehidupan pribadi dan pekerjaan,Bagaimana pandanganmu tentang pentingnya menjaga keseimbangan antara kehidupan pribadi dan pekerjaan?,kwai kusafa yang o pikir adi pentingnya ta jaga keseimbangan antara ita hidup pribadi adi ita karja,True
apa yang kamu pikirkan tentang pentingnya menjaga keseimbangan antara kehidupan pribadi dan pekerjaan,apa yang kamu pikirkan tentang pentingnya menjaga keseimbangan antara kehidupan pribadi dan pekerjaan,kwai kusafa yang o pikir adi pentingnya ta jaga keseimbangan antara ita hidup pribadi adi ita karja,False
hubungan romantik melibatkan perasaan cinta dan keterikatan emosional,Hubungan romantis mencakup perasaan cinta dan ikatan emosional.,hubungan romantik akibat ita perasaan cinta adi,True
hubungan romantik melibatkan perasaan cinta dan keterikatan emosional,hubungan romantik melibatkan perasaan cinta dan keterikatan emosional,hubungan romantik akibat ita perasaan cinta adi,False
saya perlu menyelesaikan banyak pekerjaan,Saya harus menyelesaikan banyak pekerjaan.,eparlu ebuakap pekerjaan yani,True
saya perlu menyelesaikan banyak pekerjaan,saya perlu menyelesaikan banyak pekerjaan,eparlu ebuakap pekerjaan yani,False
apa yang kamu ketahui tentang seni ukir toraja?,Apa yang kamu ketahui mengenai seni ukir Toraja?,o bare kusafa adi seni ukir toraja,True
apa yang kamu ketahui tentang seni ukir toraja?,apa yang kamu ketahui tentang seni ukir toraja?,o bare kusafa adi seni ukir toraja,False
apa yang ingin kamu lakukan saat cuaca buruk seperti ini,Apa yang ingin kamu lakukan saat cuaca buruk seperti ini?,omau mua kwai safa ami rera finta ige,True
apa yang ingin kamu lakukan saat cuaca buruk seperti ini,apa yang ingin kamu lakukan saat cuaca buruk seperti ini,omau mua kwai safa ami rera finta ige,False
"iya, aku pernah mendaki gunung bromo","Ya, saya pernah mendaki Gunung Bromo.","yo, yai pernah esai gunung bromo",True
"iya, aku pernah mendaki gunung bromo","iya, aku pernah mendaki gunung bromo","yo, yai pernah esai gunung bromo",False
apa tantangan terbesar dalam rumah tangga,Apa tantangan terbesar dalam rumah tangga?,kusafa tantangan paling magen ami rumah tangga nanam,True
apa tantangan terbesar dalam rumah tangga,apa tantangan terbesar dalam rumah tangga,kusafa tantangan paling magen ami rumah tangga nanam,False
bagaimana pendapatmu tentang kebijakan lingkungan di kota ini,Bagaimana pendapatmu tentang kebijakan lingkungan di kota ini?,opendapat akape adi kebijakan lingkungan ami urag ige,True
bagaimana pendapatmu tentang kebijakan lingkungan di kota ini,bagaimana pendapatmu tentang kebijakan lingkungan di kota ini,opendapat akape adi kebijakan lingkungan ami urag ige,False
"iya, aku suka menulis cerita pendek.","Ya, saya gemar menulis cerita pendek.","yo, yai suka menulis carita fisik magin",True
"iya, aku suka menulis cerita pendek.","iya, aku suka menulis cerita pendek.","yo, yai suka menulis carita fisik magin",False
film tersebut mendapatkan banyak penghargaan,Film itu meraih banyak penghargaan.,film nukwa asinaga penhargaan yani,True
film tersebut mendapatkan banyak penghargaan,film tersebut mendapatkan banyak penghargaan,film nukwa asinaga penhargaan yani,False
apakah kamu tahu restoran terbaik di kota ini,Apakah kamu tahu restoran terbaik di kota ini?,o bare bi ta restoran khusus kues ami kota ige,True
apakah kamu tahu restoran terbaik di kota ini,apakah kamu tahu restoran terbaik di kota ini,o bare bi ta restoran khusus kues ami kota ige,False
menjaga keseimbangan antara memberikan dukungan dan memberikan kemandirian kepada anggota keluarga,Menjaga keseimbangan antara memberikan dukungan dan kemandirian kepada anggota keluarga.,tajaga keseimbangan antara tafisina dukungan adi tafisina kemandirian ami keluarga,True
menjaga keseimbangan antara memberikan dukungan dan memberikan kemandirian kepada anggota keluarga,menjaga keseimbangan antara memberikan dukungan dan memberikan kemandirian kepada anggota keluarga,tajaga keseimbangan antara tafisina dukungan adi tafisina kemandirian ami keluarga,False
apa pendapatmu tentang cryptocurrency?,Apa pandanganmu mengenai cryptocurrency?,o pendapat akape adi cryptocurrency?,True
apa pendapatmu tentang cryptocurrency?,apa pendapatmu tentang cryptocurrency?,o pendapat akape adi cryptocurrency?,False
apa pendapatmu tentang ekonomi bagaimana pengalamanmu dengan ekonomi,Bagaimana pendapat dan pengalamanmu terkait ekonomi?,o pendapat akape adi ekonomi o pengalaman akape adi ekonomi,True
apa pendapatmu tentang ekonomi bagaimana pengalamanmu dengan ekonomi,apa pendapatmu tentang ekonomi bagaimana pengalamanmu dengan ekonomi,o pendapat akape adi ekonomi o pengalaman akape adi ekonomi,False
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya hak-hak anak di masyarakat,Bagaimana cara meningkatkan kesadaran masyarakat akan pentingnya hak anak?,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya kapropir sina hak ami masyarakat,True
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya hak-hak anak di masyarakat,bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya hak-hak anak di masyarakat,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya kapropir sina hak ami masyarakat,False
saya senang bisa bekerja bersama tim yang solid seperti ini,Saya merasa senang dapat bekerja dalam tim yang solid seperti ini.,enawan sanang bisa ekarja sama sama adi tim solid seperti ige,True
saya senang bisa bekerja bersama tim yang solid seperti ini,saya senang bisa bekerja bersama tim yang solid seperti ini,enawan sanang bisa ekarja sama sama adi tim solid seperti ige,False
saya ingin mengorganisir perjalanan keliling dunia,Saya berencana mengatur perjalanan keliling dunia.,yai emau e organisir tapanpana keliling dunia,True
saya ingin mengorganisir perjalanan keliling dunia,saya ingin mengorganisir perjalanan keliling dunia,yai emau e organisir tapanpana keliling dunia,False
kamu punya rencana untuk mengunjungi museum,Apakah kamu berencana mengunjungi museum?,o rencana buat ati museum,True
kamu punya rencana untuk mengunjungi museum,kamu punya rencana untuk mengunjungi museum,o rencana buat ati museum,False
bagaimana cara kita bisa mendukung program pelestarian satwa liar?,Bagaimana cara mendukung program pelestarian satwa liar?,akape ita cara bisa mendukung program pelestarian satwa liar?,True
bagaimana cara kita bisa mendukung program pelestarian satwa liar?,bagaimana cara kita bisa mendukung program pelestarian satwa liar?,akape ita cara bisa mendukung program pelestarian satwa liar?,False
apa pendapatmu tentang pentingnya kesetaraan akses pendidikan?,Bagaimana pendapatmu tentang pentingnya kesetaraan dalam akses pendidikan?,o pendapat akape adi pentingnya pendidikan ta parlu sejajar?,True
apa pendapatmu tentang pentingnya kesetaraan akses pendidikan?,apa pendapatmu tentang pentingnya kesetaraan akses pendidikan?,o pendapat akape adi pentingnya pendidikan ta parlu sejajar?,False
aku suka mengabadikan momen indah.,Saya gemar mengabadikan momen-momen indah.,yai suka mengabadikan momen kues kues,True
aku suka mengabadikan momen indah.,aku suka mengabadikan momen indah.,yai suka mengabadikan momen kues kues,False
"sudah lama kita tidak bertemu, apa kabar","Sudah lama tidak bertemu, bagaimana kabarmu?","tuarikaf ita ta ketemu, o kabar akape",True
"sudah lama kita tidak bertemu, apa kabar","sudah lama kita tidak bertemu, apa kabar","tuarikaf ita ta ketemu, o kabar akape",False
"iya, aku suka belajar resep baru dari acara tersebut.","Betul, saya senang mempelajari resep baru dari acara itu.","yo, yai suka balajara resep beri-beri ami acara nukwa",True
"iya, aku suka belajar resep baru dari acara tersebut.","iya, aku suka belajar resep baru dari acara tersebut.","yo, yai suka balajara resep beri-beri ami acara nukwa",False
apa saja tempat wisata yang ingin kamu kunjungi di indonesia,Tempat wisata apa saja yang ingin kamu kunjungi di Indonesia?,kusafa watan tompat wisata yang ingin mi kunjungi ami indonesia,True
apa saja tempat wisata yang ingin kamu kunjungi di indonesia,apa saja tempat wisata yang ingin kamu kunjungi di indonesia,kusafa watan tompat wisata yang ingin mi kunjungi ami indonesia,False
saya akan mengambil buku yang kamu pinjamkan.,Saya akan mengambil buku yang kamu pinjamkan.,yai emau eguain buku ami o,True
saya akan mengambil buku yang kamu pinjamkan.,saya akan mengambil buku yang kamu pinjamkan.,yai emau eguain buku ami o,False
. apa yang kamu ketahui tentang sastra indonesia?,Apa yang kamu ketahui tentang sastra Indonesia?,o bare kusafa adi sastra indonesia,True
. apa yang kamu ketahui tentang sastra indonesia?,. apa yang kamu ketahui tentang sastra indonesia?,o bare kusafa adi sastra indonesia,False
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan mata dari layar gadget,Bagaimana pendapatmu tentang pentingnya menjaga kesehatan mata dari layar gadget?,kwai kusafa yang o pikir adi pentingnya ta jaga kesehatan batbata afi rar gadget,True
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan mata dari layar gadget,apa yang kamu pikirkan tentang pentingnya menjaga kesehatan mata dari layar gadget,kwai kusafa yang o pikir adi pentingnya ta jaga kesehatan batbata afi rar gadget,False
bagaimana cara kita bisa mendukung program pendidikan karakter,Bagaimana cara kita dapat mendukung program pendidikan karakter?,akape ita cara bisa ta dukung program a sakolah kalakuang,True
bagaimana cara kita bisa mendukung program pendidikan karakter,bagaimana cara kita bisa mendukung program pendidikan karakter,akape ita cara bisa ta dukung program a sakolah kalakuang,False
apa pendapatmu tentang ruang angkasa bagaimana pengalamanmu dengan ruang angkasa,Apa pendapat dan pengalamanmu terkait ruang angkasa?,o pendapat akape adi angkasa luar o pengalaman akape adi angkasa luar,True
apa pendapatmu tentang ruang angkasa bagaimana pengalamanmu dengan ruang angkasa,apa pendapatmu tentang ruang angkasa bagaimana pengalamanmu dengan ruang angkasa,o pendapat akape adi angkasa luar o pengalaman akape adi angkasa luar,False
pendidikan kesehatan sebagai langkah untuk meningkatkan kesadaran masyarakat,Pendidikan kesehatan sebagai upaya meningkatkan kesadaran masyarakat.,a sekolah kesehatan sebagai langkah buat masyarakat sina makin sadar,True
pendidikan kesehatan sebagai langkah untuk meningkatkan kesadaran masyarakat,pendidikan kesehatan sebagai langkah untuk meningkatkan kesadaran masyarakat,a sekolah kesehatan sebagai langkah buat masyarakat sina makin sadar,False
tolong tutup pintunya,Tolong pintunya ditutup.,tolong mitutif taburar,True
tolong tutup pintunya,tolong tutup pintunya,tolong mitutif taburar,False
apa pendapatmu tentang kehidupan sehari-hari bagaimana pengalamanmu dengan kehidupan sehari-hari,Bagaimana pandanganmu mengenai kehidupan sehari-hari dan pengalaman yang kamu alami di dalamnya,o pendapat akape adi kehidupan rerera o pengalaman akape adi kehidupan rerera,True
apa pendapatmu tentang kehidupan sehari-hari bagaimana pengalamanmu dengan kehidupan sehari-hari,apa pendapatmu tentang kehidupan sehari-hari bagaimana pengalamanmu dengan kehidupan sehari-hari,o pendapat akape adi kehidupan rerera o pengalaman akape adi kehidupan rerera,False
apa pendapatmu tentang pentingnya inovasi dalam dunia bisnis,Bagaimana pendapatmu mengenai signifikansi inovasi dalam dunia bisnis,o pendapat akape adi pentingnya inovasi ami dunia bisnis,True
apa pendapatmu tentang pentingnya inovasi dalam dunia bisnis,apa pendapatmu tentang pentingnya inovasi dalam dunia bisnis,o pendapat akape adi pentingnya inovasi ami dunia bisnis,False
sop ayam adalah hidangan favorit keluarga,Hidangan sop ayam menjadi favorit di keluarga,sop kokoh adalah kumnamin favorit ekeluarga,True
sop ayam adalah hidangan favorit keluarga,sop ayam adalah hidangan favorit keluarga,sop kokoh adalah kumnamin favorit ekeluarga,False
apa pendapatmu tentang perkembangan teknologi blockchain,Bagaimana pandanganmu tentang kemajuan teknologi blockchain,o pendapat akape tentang perkembangan teknologi blockchain,True
apa pendapatmu tentang perkembangan teknologi blockchain,apa pendapatmu tentang perkembangan teknologi blockchain,o pendapat akape tentang perkembangan teknologi blockchain,False
bagaimana cara kita bisa meningkatkan kualitas layanan kesehatan di pedesaan,Apa yang dapat kita lakukan untuk meningkatkan mutu layanan kesehatan di wilayah pedesaan,akape ita cara bisa meningkatkan kualitas layanan kesehatan ami pedesaan,True
bagaimana cara kita bisa meningkatkan kualitas layanan kesehatan di pedesaan,bagaimana cara kita bisa meningkatkan kualitas layanan kesehatan di pedesaan,akape ita cara bisa meningkatkan kualitas layanan kesehatan ami pedesaan,False
"aku suka, sangat menenangkan.","Aku menyukainya, sungguh menenangkan.",yai esuka sangat menyenangkan,True
"aku suka, sangat menenangkan.","aku suka, sangat menenangkan.",yai esuka sangat menyenangkan,False
saya perlu pergi ke kantor pos untuk mengirim paket,Saya harus pergi ke kantor pos guna mengirimkan paket,eparlu ati kantor pos buat afgair paket,True
saya perlu pergi ke kantor pos untuk mengirim paket,saya perlu pergi ke kantor pos untuk mengirim paket,eparlu ati kantor pos buat afgair paket,False
bagaimana perkembangan kecantikan di indonesia,Bagaimana perkembangan dunia kecantikan di Indonesia,akape adi perkembangan kecantikan ami indonesia,True
bagaimana perkembangan kecantikan di indonesia,bagaimana perkembangan kecantikan di indonesia,akape adi perkembangan kecantikan ami indonesia,False
pernahkah kamu menulis cerita,Apakah kamu pernah menulis sebuah cerita,o pernah mitulis carita,True
pernahkah kamu menulis cerita,pernahkah kamu menulis cerita,o pernah mitulis carita,False
bisakah kamu merekomendasikan tempat salon yang bagus,Dapatkah kamu menyarankan tempat salon yang baik,obisa merekomendasikan tompat salon yang kues,True
bisakah kamu merekomendasikan tempat salon yang bagus,bisakah kamu merekomendasikan tempat salon yang bagus,obisa merekomendasikan tompat salon yang kues,False
bagaimana cara kamu menjaga kebersihan rumah?,Bagaimana caramu menjaga kebersihan rumah,o cara akape menjaga kebersihan tompat tinggal?,True
bagaimana cara kamu menjaga kebersihan rumah?,bagaimana cara kamu menjaga kebersihan rumah?,o cara akape menjaga kebersihan tompat tinggal?,False
saya akan bepergian ke luar kota minggu depan,Saya berencana bepergian ke luar kota minggu depan,emau ekaluar kota minggu utaf,True
saya akan bepergian ke luar kota minggu depan,saya akan bepergian ke luar kota minggu depan,emau ekaluar kota minggu utaf,False
apa yang bisa kita lakukan untuk mendukung pengembangan teknologi hijau di daerah pedalaman,Apa yang dapat kita lakukan untuk mendukung pengembangan teknologi hijau di daerah pedalaman,kwai kusafa yang bisa tana buat mendukung teknologi hijau ami tompat terpencil,True
apa yang bisa kita lakukan untuk mendukung pengembangan teknologi hijau di daerah pedalaman,apa yang bisa kita lakukan untuk mendukung pengembangan teknologi hijau di daerah pedalaman,kwai kusafa yang bisa tana buat mendukung teknologi hijau ami tompat terpencil,False
saya senang bisa bergabung dengan acara ini,Saya merasa senang dapat ikut serta dalam acara ini,enawan sanang bisa bergabung ami acara ige,True
saya senang bisa bergabung dengan acara ini,saya senang bisa bergabung dengan acara ini,enawan sanang bisa bergabung ami acara ige,False
